name,Overall Score,Tariff Rate,Income Tax Rate,Corporate Tax Rate,Population (millions),GDP (billions),GDP per Capita,Unemployment Rate,Inflation Rate,FDI Inflow (millions),Tax Burden % GDP,Govt. Expenditure % GDP
,72.5,3.0,47.5,15.8,83.1,4443.6,56052.0,3.0,1.3,36358.6,38.2,44.6
,59.2,11.3,30.0,25.0,30.4,204.8,5637.0,4.3,7.2,2318.8,14.1,20.2
,60.9,3.0,44.0,24.0,10.7,323.7,31399.0,17.2,0.5,4631.2,38.7,46.8
,64.0,4.7,7.0,25.0,16.6,152.8,8996.0,2.5,3.7,998.2,12.2,13.2
,56.5,9.3,40.0,35.0,12.8,33.4,2670.0,4.3,9.5,44.8,14.3,15.8
,54.9,12.1,20.0,25.0,1.9,3.7,2072.0,2.5,0.2,30.6,10.3,19.4
,57.4,6.6,33.3,40.0,0.8,7.1,10105.0,11.9,2.1,1713.3,28.8,27.5
,50.8,7.3,30.0,30.0,11.3,20.8,1801.0,13.8,17.3,75.0,13.3,17.0
,59.8,6.6,25.0,25.0,9.7,51.4,5965.0,5.4,4.4,498.1,23.1,26.3
,67.2,3.0,15.0,9.0,9.8,335.8,33979.0,3.4,3.4,5204.5,36.6,46.6
,77.4,1.6,31.8,20.0,0.4,20.0,60061.0,2.8,3.0,-240.9,36.7,42.4
,56.5,10.3,30.9,32.4,1366.4,11043.2,7034.0,5.4,4.5,50553.0,11.2,26.7
,66.9,5.4,30.0,25.0,270.6,3735.6,12302.0,4.7,2.8,23429.0,10.2,16.5
,47.2,15.4,35.0,25.0,82.9,1491.5,12912.0,11.4,41.1,1508.0,8.4,18.1
,,,15.0,15.0,39.3,708.3,11332.0,12.8,-0.2,-3075.6,2.0,34.0
,81.4,3.0,41.0,12.5,4.9,417.9,88241.0,4.9,0.9,78234.1,22.3,25.1
,73.8,2.9,50.0,23.0,9.1,354.9,42194.0,3.9,0.8,18224.2,31.1,39.2
,64.9,3.0,43.0,24.0,60.3,2454.8,44197.0,9.9,0.6,26569.5,42.1,48.7
,69.0,10.4,25.0,25.0,2.9,27.9,10166.0,8.0,3.9,665.4,27.9,29.2
,74.1,2.3,40.8,23.9,126.3,5711.9,43236.0,2.3,0.5,14552.4,31.4,37.5
,64.6,9.5,30.0,20.0,10.1,96.3,10317.0,14.7,0.3,915.8,15.1,29.8
,71.1,5.2,10.0,20.0,18.5,541.0,27444.0,4.6,5.2,3118.1,11.7,21.1
,54.9,11.4,30.0,30.0,52.6,191.2,4509.0,2.6,5.2,1332.4,18.2,25.7
,44.4,28.1,35.0,35.0,0.1,0.3,2369.0,,-1.9,0.5,22.0,119.3
,66.5,3.9,10.0,10.0,1.8,22.1,11839.0,25.9,2.7,304.2,23.3,28.9
,64.1,4.6,0.0,15.0,4.2,308.7,51912.0,2.2,1.1,104.4,1.4,51.2
,63.7,6.1,10.0,10.0,6.5,26.1,5471.0,6.3,1.1,208.6,18.0,34.8
,53.9,8.6,24.0,24.0,7.2,57.1,8151.0,0.6,3.3,557.2,11.5,21.0
,72.3,3.0,31.4,20.0,1.9,59.5,32204.0,6.5,2.7,789.2,30.7,37.6
,51.4,5.3,25.0,17.0,6.9,84.3,15327.0,6.2,2.9,2128.3,15.3,31.5
,53.5,11.4,35.0,25.0,2.1,6.9,2882.0,23.4,5.2,117.6,31.6,50.9
,49.2,12.1,25.0,25.0,4.9,6.3,1487.0,2.8,27.0,137.8,12.9,32.5
,,,10.0,20.0,6.8,83.5,15803.0,,4.6,,,94.5
,,,7.0,12.5,0.0,,,1.7,0.9,,,
,76.9,3.0,20.0,15.0,2.8,103.0,38214.0,6.4,2.2,975.2,30.3,33.3
,76.0,3.0,42.0,17.0,0.6,68.8,121293.0,5.4,1.7,-11420.8,40.1,42.4
,57.7,9.8,20.0,20.0,27.0,52.9,1714.0,1.8,5.6,227.3,11.9,14.8
,53.0,8.4,30.0,30.0,18.6,25.2,1104.0,5.7,9.4,97.9,17.4,30.4
,74.4,3.8,30.0,24.0,31.9,1076.4,29526.0,3.3,0.7,7650.5,12.0,22.8
,55.2,12.6,0.0,0.0,0.5,8.5,19698.0,6.1,1.3,564.6,18.7,33.2
,55.6,10.5,40.0,35.0,19.7,47.4,2424.0,7.2,-0.6,493.8,16.7,22.1
,70.2,3.0,35.0,35.0,0.5,23.0,45652.0,3.5,1.5,3572.7,26.2,36.1
,56.1,8.1,40.0,25.0,4.5,25.5,5412.0,9.6,2.3,885.3,18.7,19.7
